Product ID,Product Name,Category,Warehouse,Location,Quantity,Price,Supplier,Status,Last Restocked,Inventory Value,Stock Score
1891,Widget B,Furniture,Warehouse 1,Aisle 1,200.0,49.99,Supplier B,Out of Stock,15-01-2023,9998.0,0.0
1460,Widget A,Toys,Warehouse 1,Aisle 3,150.0,29.99,Supplier B,In Stock,Not Available,4498.5,1.0
1690,Widget A,Toys,Warehouse 2,Aisle 2,150.0,9.99,Supplier B,Out of Stock,05-03-2023,1498.5,0.0
1574,Gadget Z,Furniture,Warehouse 3,Aisle 1,100.0,49.99,Supplier A,Out of Stock,25-04-2023,4999.0,0.0
1863,Widget B,Clothing,Warehouse 2,Aisle 3,150.0,9.99,Supplier C,In Stock,20-12-2022,1498.5,1.0
1742,Gadget Z,Toys,Warehouse 3,Aisle 5,150.0,29.99,Supplier A,Out of Stock,05-03-2023,4498.5,0.0
1240,Gadget X,Electronics,Warehouse 3,Aisle 3,150.0,49.99,Supplier A,Low Stock,25-04-2023,7498.5,0.5
1563,Widget A,Electronics,Warehouse 3,Aisle 2,200.0,49.99,Supplier A,In Stock,15-01-2023,9998.0,1.0
1095,Widget A,Electronics,Warehouse 3,Aisle 4,100.0,19.99,Supplier D,Low Stock,20-12-2022,1998.9999999999998,0.5
1899,Gadget Y,Clothing,Warehouse 3,Aisle 3,150.0,29.99,Supplier D,In Stock,25-04-2023,4498.5,1.0
1733,Gadget X,Furniture,Warehouse 3,Aisle 4,150.0,29.99,Supplier D,Low Stock,25-04-2023,4498.5,0.5
1484,Widget A,Electronics,Warehouse 3,Aisle 5,200.0,49.99,Supplier C,Low Stock,Not Available,9998.0,0.5
1406,Gadget X,Clothing,Warehouse 2,Aisle 3,100.0,29.99,Supplier A,Out of Stock,05-03-2023,2999.0,0.0
1230,Widget B,Toys,Warehouse 1,Aisle 1,50.0,49.99,Supplier A,Low Stock,Not Available,2499.5,0.5
1748,Widget C,Furniture,Warehouse 1,Aisle 4,200.0,19.99,Supplier D,Out of Stock,20-12-2022,3997.9999999999995,0.0
1654,Widget A,Toys,Warehouse 2,Aisle 5,100.0,49.99,Supplier A,In Stock,25-04-2023,4999.0,1.0
1170,Gadget Y,Clothing,Warehouse 2,Aisle 1,150.0,29.99,Supplier A,Low Stock,Not Available,4498.5,0.5
1540,Widget B,Electronics,Warehouse 2,Aisle 1,100.0,29.99,Supplier B,Low Stock,05-03-2023,2999.0,0.5
1035,Gadget X,Electronics,Warehouse 2,Aisle 1,100.0,49.99,Supplier A,In Stock,20-12-2022,4999.0,1.0
1524,Gadget Z,Clothing,Warehouse 3,Aisle 1,300.0,49.99,Supplier B,In Stock,15-01-2023,14997.0,1.0
1159,Widget B,Electronics,Warehouse 1,Aisle 3,100.0,49.99,Supplier A,Low Stock,Not Available,4999.0,0.5
1838,Widget A,Furniture,Warehouse 3,Aisle 3,50.0,29.99,Supplier C,In Stock,20-12-2022,1499.5,1.0
